Artist(s),song,text,Genre,Album,emotion,Energy,Danceability,Positiveness,Acousticness,Instrumentalness,Speechiness,Liveness,Tempo,Loudness (db),Popularity,track_id
Shirley Temple,Come And Get Your Happiness,Lyrics/Music Yellen/Pokrass Why are grown up peoples faces Wrinkled like a lot of prunes Money money that's what chases them Around like crazy loon's I think they make a big mistake Wealth and happiness that counts Are free to all in large amounts  There's millions worth of golden sunbeams That everybody can possess All Gods children got success Come and get your happiness There's billions worth of silver moonbeams Enough for everyone I guess What's a million more or less Come and get your happiness Among the wildwood of your happy childhood Where you were Jill's and Jack In raggy britches there's a lot of riches On which you don't pay any income tax So get under their blue heaven Away from trouble and distress Just find Mother Nature's address And come and get your happiness,hip hop,Little Miss Shirley Temple,joy,20,66,68,100,1,7,30,64,-11.91db,14,0
Supertramp,Ever Open Door,"Sharing's good, sharing's fine    But no one wants to share this world of mine    Is dull, dark and grey    And no one wants to find the way    to my front door is always open to you        Hey now life, give me a break    For much more of this I cannot    Take me to a far off place    Where there's no rich or poor    And every house has got an ever open door        I want to find my direction    I want my love and affection    Yes I'm needing it more and more        I want to find my own answers    it's time I knew what my plans were    I'm going to find out what I'm looking for        I'm gonna take all my chances    Gonna make my advances    Gonna see what my life has in store        I've got a feeling inside me    I'll put the past way behind me    Pick myself up from the floor        I want my sun in the morning    Want my friends to come calling    I'll keep a welcome outside my door    ","rock,progressive rock,classic rock",Brother Where You Bound (Remastered),joy,25,47,10,85,0,3,23,77,-11.62db,36,1
Demi Lovato,Let It Go,"[Intro] Let it go, let it go Can’t hold it back anymore Let it go, let it go Turn my back and slam the door  [Verse 1] The snow glows white on the mountain tonight Not a footprint to be seen A kingdom of isolation And it looks like I'm the queen The wind is howling like the swirling storm inside Couldn’t keep it in, Heaven knows I tried  [Pre-Chorus] Don’t let them in, don’t let them see Be the good girl you always have to be Conceal, don’t feel, don’t let them know Well, now they know  [Chorus] Let it go, let it go Can’t hold it back anymore Let it go, let it go Turn my back and slam the door And here I stand, and here I'll stay Let it go, let it go The cold never bothered me anyway [Verse 2] It’s funny how some distance Makes everything seem small And the fears that once controlled me Can’t get to me at all Up here in the cold thin air I finally can breathe I know I left a life behind But I’m too relieved to grieve  [Chorus] Let it go, let it go Can’t hold it back anymore Let it go, let it go Turn my back and slam the door And here I stand, and here I'll stay Let it go, let it go The cold never bothered me anyway  [Bridge] Standing frozen in the life I’ve chosen You won't find me, the past is so behind me Buried in the snow  [Chorus] Let it go, let it go Can’t hold it back anymore Let it go, let it go Turn my back and slam the door And here I stand, and here I'll stay Let it go, let it go The cold never bothered me anyway [Outro] (Na na, na na) Yeah (Na na na na na) Let it go (Na na, na na) Yeah (Na na na na na) Na na (Na na, na na) Let it go (Na na na na na) Let it go (Na na) Let it go (Na na) Ooh (Na na na na na) Let it go","synthpop,pop,electropop",Demi (Deluxe),joy,66,50,25,3,0,4,26,140,-5.87db,50,2
"Chase & Status,Mozey,Sav'o,Horrid1",Action,"[Intro: Sav'O] (Madara) J'S, J'S  [Verse 1: Sav'O] If your friend gets packed and you pack something back don't mean you're a savage you had to react For a minor diss I'll overrreact I'm just like hunch I can back my chat You ain't did shit why you still with your gang And when you went jail you denied our batch Damn that could never be my batch Corn gets crashed and we swing our splash We keep it real so the fake are mad Really been in the field let me state some facts Bro used 2 shanks when he got down **** Bro hung off the ped when he let that crash I hopped off thе ped then shit got splat When I jumpеd out the ride I blessed my rams Don't get why this neek try compete with man I'm a different level there ain't no match I'm a big darg in this ting from young treat wono like Feltham aye My man curled up when he felt this blade don't step out of line you'll meet front page Two gal from kway both pooch fucked the same Man smashed them both when I linked them late Gang send out corn or we wetting our blades don't slip with your bitch I'm ending your date [Chorus: Sav'O & Horrid1] My life's like a movie, action Gang got no match can't match it The net chattings get real life reactions It's a small world so mind how you're chatting There's no way you have beef when you're lacking, slacking Main road ting I'm attacking, mad ting She just lost her son, sad ting she don't even know who packed him My life's like a movie, action Gang got no match can't match it The net chattings get real life reactions It's a small world so mind how you're chatting There's no way you have beef when you're lacking, slacking Main road ting I'm attacking, mad ting She just lost her son, sad ting she don't even know who packed him  [Verse 2: Horrid1] I don't think theres a time that I took that blade out my hand Even when I went to the can I had a flick knife Bro had a knife that's long like man violence raises in the can Man abuse the whole of the 12 that's bullying tan I'm cooking him He's dissing it? What man's jukking him metal gonna rip through his skin he's full of it He got chinged who done it? I done it man rose my gun, why you running? Come back I wanna bun him With a rambo knife I cut him and gut him try slide to my block and hear bow bow bow We ain't drumming that's bare guns bussing I can honestly say that my opps are on nothing I had 2 gal in the room smashed them both tell the pooch start coming I'm the real Huncho I don't know about Quavo The real broadday man done it on mainroad I'll swish that frogg don't tell me about Fredo I'm the real top boy in the ends like Kano If I kill something in Trini I'll fly to Tobago Waps on the block got to dodge them plain clothes LayLow bro just robbed man for 100 stacks go flex them peso's [Chorus: Sav'O & Horrid1] My life's like a movie, action Gang got no match can't match it The net chattings get real life reactions It's a small world so mind how you're chatting There's no way you have beef when you're lacking, slacking Main road ting I'm attacking, mad ting She just lost her son, sad ting she don't even know who packed him My life's like a movie, action Gang got no match can't match it The net chattings get real life reactions It's a small world so mind how you're chatting There's no way you have beef when you're lacking, slacking Main road ting I'm attacking, mad ting She just lost her son, sad ting she don't even know who packed him",hip hop,"2 RUFF, Vol. 1",anger,96,64,33,1,8,17,7,175,-1.88db,52,3
Mick Jenkins,40 Below,"[Produced by: THEMPeople]  [Intro: Sample] ""Love? You know, what do you know about love? What do you possibly think you know about love? You know, I'm sick and tired of men usin' love as some kind of disease you just catch Love should've brought your ass home last night! I heard you say you sorry, you sorry and you tired You don't love me! You only love your damn self!""  [Intro] How she got soo cold How she got soo cold How she got soo cold How she got soo cold on me How she got soo cold  [Pre-Hook] Soo cold, soo cold Soo cold, soo cold Soo cold [Hook] How she got soo cold on me How she got soo cold How she got soo cold How she got soo cold How she got soo cold How she got soo cold How she got soo cold How she got soo cold on ya How she got soo cold  [Post-Hook] Cause the last that I remember Think I left you in December But it feel like February on a nigga (How she got soo cold)  [Verse] Shawty was a beauty from the start, I was seventeen That's when I took notice of a sculpture angelic Though I knew it was a long way from heavenly Can I kick it? Skip the dissertation, let her know I need the digit Young nigga, all I really had was jokes Just finessin’, she a low key blessin', I didn't even know Not reminiscin’, just lamentin on mistakes I made Random nights I lurked on her Facebook page Youngin' thinkin' like ""my time right,  I done got my mind right"" Yeah that she heard that mixtape I got a little limelight, I let her know She didn't let up, learned a lesson when she let me go Just let me sing and this is how it go [Outro] I could hold it down Want to be your nigga She said ""not right now"" I said ""how you figure?"" I could hold it down, down, down, down, down, down Want to hold it down, down, down, down, down, down I could hold it down, down, down, down, down, down, down",country,Wave[s],anger,83,38,22,4,1,26,11,96,-1.75db,17,4
T-Pain,Ringleader Man,"[Intro: T-Pain] Ooh, ooh, ah (Ooh, ooh) Ah, ah (Ooh, ooh) Ah, ah-ah-ah Ah, ah Ah-ah-ah Ah-ah-ah Ah-ah-ah Hey!  [Verse 1: T-Pain] We gon' have a ripping good time (Time) Just hit (Hit) rewind ('Wind) And you can see I'm far too crazy My rhythms and rhymes (Rhymes) keep niggas in line (Line) 'Cause now (Now) is not the time, to be lazy I'm the ringleader man (Man), a cane in my hand (Hand) And a iced-out top hat on my head Ain't you tired of that wackness? Sick of this wack shit? Wouldn't you like some of me instead? [Hook: T-Pain] The ringleader man This is my circus, I'm working I can flip this whole game with one hand The ringleader man I know (Oh, oh, oh) It's a fact that you'd rather just have some of me instead The ringleader man  [Break: T-Pain] Ha The ringleader man Haha Hey!  [Verse 2: T-Pain] This industry is my circus, I know that it hurts Just sit back and take Pain, like I used to And I'm tryin to stop cursing, but I don't give a fuck I'm gon' curse you with lyrical voodoo I'm the ringleader man, you can't understand The shit that comes out of my head But you like all that wackness, loving all that wack shit I'd rather just say ""Fuck you"" instead  [Hook: T-Pain] The ringleader man This is my circus, I'm working I can flip this whole game with one hand The ringleader man I know (Oh, oh, oh) It's a fact that you'd rather just have some of me instead The ringleader man [Outro: T-Pain] Ha The ringleader man Haha","pop,rap,hip hop",Three Ringz (Thr33 Ringz) [Expanded Edition],anger,50,36,27,3,0,5,11,160,-10.86db,33,5
Florence + The Machine,Shake It Out,"[Intro] Regrets collect like old friends Here to relive your darkest moments I can see no way, I can see no way And all of the ghouls come out to play And every demon wants his pound of flesh But I like to keep some things to myself I like to keep my issues drawn It's always darkest before the dawn  [Verse 1] And I've been a fool and I've been blind I can never leave the past behind I can see no way, I can see no way I'm always dragging that horse around All of his questions, such a mournful sound Tonight, I'm gonna bury that horse in the ground 'Cause I like to keep my issues drawn But it's always darkest before the dawn  [Chorus] Shake it out, shake it out Shake it out, shake it out, oh-woah Shake it out, shake it out Shake it out, shake it out, oh-woah And it's hard to dance with a devil on your back So shake him off, oh-woah [Verse 2] And I am done with my graceless heart So tonight, I'm gonna cut it out and then restart 'Cause I like to keep my issues drawn It's always darkest before the dawn  [Chorus] Shake it out, shake it out Shake it out, shake it out, oh-woah Shake it out, shake it out Shake it out, shake it out, oh-woah And it's hard to dance with a devil on your back So shake him off, oh-woah (Shake him off)  [Bridge] And it's hard to dance With a devil on your back (Shake him off) And given half the chance Would I take any of it back? (Shake him off) It's a fine romance But it's left me so undone (Shake him off) It's always darkest before the dawn (Shake him off) (Oh-woah) (Oh-woah)  [Breakdown] And I'm damned if I do and I'm damned if I don't So here's to drinks in the dark at the end of my rope And I'm ready to suffer and I'm ready to hope It's a shot in the dark aimed right at my throat 'Cause looking for Heaven, found the devil in me (Oh-woah) Looking for Heaven, found the devil in me (Oh-woah) But, what the hell, I'm gonna let it happen to me, yeah [Chorus] Shake it out, shake it out Shake it out, shake it out, oh-woah Shake it out, shake it out Shake it out, shake it out, oh-woah And it's hard to dance with a devil on your back So shake him off, oh-woah Shake it out, shake it out Shake it out, shake it out, oh-woah Shake it out, shake it out Shake it out, shake it out, oh-woah And it's hard to dance with a devil on your back So shake him off, oh-woah  [Outro] (What the hell...) Oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-oh-oh Oh-oh-oh-oh Oh-oh-oh-oh, oh-oh-oh-o-oh","rock,pop,alternative rock",Ceremonials (Original Deluxe Version),sadness,80,52,23,1,0,4,11,107,-4.21db,67,6
Metallica,Kenny Goes To Hell,"James Hetfeild: Little boy, your going to hell!    You said bad words, threw rocks at the bird    And now, this is your hotel    You ain't going back, this ain't disneyland, it's hell        Little boy, it's time for you to pay!    For hurting that bird, and not going to church    And staring at boobs everyday    Now you must stand in hell!        Hell isn't good, hell isn't good, hell!    No, hell isn't good, hell isn't good, hell!        Adolf Hitler: something in german...    George Burns: Hey fuckface, have you seen Gracie?    Mahatma Ghandi: There is orderliness in the universe    James Hetfield: Hell isn't good, hell isn't good, hell!    ","rock,heavy metal,progressive metal",Hardwired…To Self-Destruct,anger,98,16,37,0,1,6,6,178,-3.59db,58,7
Kodak Black,Running Outta Love,"[Intro] Like-like-like-like I'm-I'm-I'm through with this shit, like This shit ain't even workin', bae This shit ain't gon' work, I ain't gon' lie to you Murda on the beat so it's not nice Like this shit that we got goin' on so rusty, dog, you can't even polish it Like I ain't even gon' lie, bae, I don't see no future in us I ain't like these other dudes, I'ma give this shit to you with no autotune, yeah Fuck a slurpee I'm so smooth  [Chorus] Been runnin' out of love for you lately (out of L-O-V-E) I don't wanna fuck wit' you no more (Baby I'm T-I-R-E-D) I ain't got no hope in us baby (Ain't got no H-O-P-E) It don't make no sense tryna hold on (Baby I'm tired, baby I'm tired, there ain't no we) Been runnin' out of love for you lately (There ain't no hope, there ain't no us, there ain't no we) I don't wanna fuck wit' you no more (There ain't no we) I ain't got no hope in us baby (There ain't no we) It don't make no sense tryna hold on [Verse 1] I've been runnin' out of reasons, right now I don't even care I've been runnin' out of feelings, I been speedin' out of air I don't know how the fuck I'm breathin' 'cause I'm runnin' out of breath Got me runnin' out of love, I been runnin' out of air I've been runnin' out of trust, you ain't worthy Fell into some feelings now I'm dirty Brush me off, dust it off Shut your mouth, cut it out I was kickin' in doors and runnin' out That's the same way I'm runnin' out on you Drinkin' my heart out, poured it out for you I done even cut my homies out for you I done even cut my buddies out for you I done even cut my cousin out for you Caught myself all gettin' soft Caught myself like Randy Moss I ain't got time I'm windin' out Done did enough time, been in and out  [Chorus] Been runnin' out of love for you lately (out of L-O-V-E) I don't wanna fuck wit' you no more (Baby I'm T-I-R-E-D) I ain't got no hope in us baby (Ain't got no H-O-P-E) It don't make no sense tryna hold on (Baby I'm tired, baby I'm tired, there ain't no we) Been runnin' out of love for you lately (There ain't no hope, there ain't no us, there ain't no we) I don't wanna fuck wit' you no more (There ain't no we) I ain't got no hope in us baby (There ain't no we) It don't make no sense tryna hold on [Verse 2] Keep tryna check my cellular Girl you got me thinkin' 'bout branchin' off Nah, this ain't her, you way off Baby this Jake from Statefarm Got too much fishes in this water Too much fish to worry 'bout ya Too much fish to fry a piranha Rather make a song than argue You wanna fuss until tomorrow Leave me alone I'm droppin' a album Blowin' me up, I'm droppin' a verse Put my phone on ""Do Not Disturb"" I've been runnin' out of love I've been runnin' out of words Tired of askin' you ""What's the matter?"" 'Cause matters gettin' worse I'm 'bout to kick you to the curb, skrrt skrrt Lately I ain't been in your skirt, skirt, skirt You would rather exchange words for a skirt I'd rather pull up in a verse, skrrt skrrt In traffic bent, I'm swerving You flaggin', baby, you perkin' I got a bag, but you can't get Birkin We ain't lastin', this ain't workin' [Chorus] Been runnin' out of love for you lately (out of L-O-V-E) I don't wanna fuck wit' you no more (Baby I'm T-I-R-E-D) I ain't got no hope in us baby (Ain't got no H-O-P-E) It don't make no sense tryna hold on (Baby I'm tired, baby I'm tired, there ain't no we) Been runnin' out of love for you lately (There ain't no hope, there ain't no us, there ain't no we) I don't wanna fuck wit' you no more (There ain't no we) I ain't got no hope in us baby (There ain't no we) It don't make no sense tryna hold on","rap,hip hop,trap",Heart Break Kodak (HBK),joy,70,71,39,34,0,9,26,132,-4.47db,40,8
Styx,Half-Penny Two-Penny,"[Verse 1] Half penny, two penny, gold Krugerrand He was exceedingly rich for such a young man Sad story, old story Bring out the band Another divorce just a few hundred grand  [Verse 2] Half penny, two penny, back of the queue Yes mister poor man this means you Justice for money what can you say We all know it's the American Way  [Chorus] Yes, I'm gonna shake myself loose Back home across the sea Where I know that I will be free  [Verse 3] Half penny, two penny, back in the States You just couldn't take that African pace Yes, Mrs. Cleaver your son's home to stay We all know it's the American Way [Chorus]  [Background Voices] ""Come here - hey Angelo... what's happenin'?"" ""Hey, Stosh, good to see ya"" ""What the hell you doin'?"" ""We're tearing this old building down here"" ""Oh you're kiddin' me. Remember when we were kids, and we used to come here every Saturday afternoon to see a cartoon?"" ""Yeah, I remember"" ""Well what's she lost to?"" ""Who knows- politicians, taxes...it's a disgrace"" ""I'm not surprised, they make me sick. They don't make theaters like this any more.""  [Verse 4] Half penny, two penny, ashes to dust The almighty dollar says ""In God we trust"" Justice for money how much more can I pay We all know it's the American Way  [Chorus]  I want to be free  [Chorus]  We all want to be free","rock,progressive rock,hard rock",Paradise Theatre,joy,60,40,51,1,0,4,25,129,-11.3db,28,9
